syl1,syl2,rho,p_value,sample_size,status
b,c,0.026226725619565863,0.25684681230653056,1871,nonsignificant
b,e,-0.044027802402423134,0.6509479211783864,108,nonsignificant
c,b,0.3829092990403242,8.497483408551569e-22,583,significant
c,e,-0.006071270350348904,0.94555811091279,129,nonsignificant
e,b,0.10584505536331604,0.00013163949405490765,1300,significant
e,c,0.12299553563278447,0.017477983097423398,373,significant
