wav_file,song,onsets,offsets
pk02gr02_241023_155754.0.wav,bbbccccccbbbccdfdgadgaeebbeecdfdfbbccdgaeebbbccdgaec,5.646259 190.861678 395.510204 579.818594 743.877551 1052.222222 1205.873016 1381.043084 1568.866213 1753.197279 1934.285714 2109.433107 2266.417234 2446.575964 2629.750567 2805.895692 2968.707483 3181.367198 3550.839002 3686.145125 4048.503401 4196.303855 4387.482993 4540.47619 4754.013605 4886.462585 5097.188209 5280.272109 5475.941043 5631.746032 5790.952381 6018.253968 6175.873016 6337.482993 6499.206349 6666.598639 6842.92517 7306.848073 7454.14966 7664.30839 7830.47619 8052.267574 8205.736961 8361.519274 8557.845805 8753.197279 9654.596764 9894.285714,68.707483 270.680272 470.31746 661.85941 784.353741 1108.29932 1295.238095 1486.530612 1670.907029 1842.199546 2015.192744 2207.55102 2380.770975 2550.068027 2719.705215 2895.011338 3064.195011 3482.03114 3639.183673 3999.421655 4132.517007 4298.707483 4481.791383 4628.072562 4834.557823 4998.253968 5190.544218 5368.662132 5555.396825 5722.811791 5900.181406 6100.544218 6264.920635 6426.462585 6601.179138 6756.394558 7165.175351 7399.931973 7571.995465 7764.897959 7917.664399 8132.653061 8298.956916 8471.201814 8645.442177 9065.489344 9770.36663 9966.712018
pk02gr02_241023_155805.1.wav,bdgaeccbbccdfdgaeebbbbccdf,1e-06 121.814059 277.777778 1221.655329 1391.950113 1571.38322 1751.473923 1934.739229 2118.684807 2313.698492 2501.814059 2715.124717 2865.623583 3041.38322 3425.68397 3581.269841 3813.333333 3991.678005 4167.165533 4312.902494 4507.369615 4660.362812 4874.875283 5096.870748,82.811791 240.680272 578.281843 1289.591837 1520.725624 1695.827664 1865.623583 2065.53288 2254.988662 2436.640781 2619.274376 2823.446712 3005.102041 3377.975022 3535.238095 3711.201814 3920.408163 4118.61678 4275.37415 4422.154195 4618.072562 4791.179138 4980.975057 5195.96485
pk02gr02_241023_161557.2.wav,bbbbccccccdfdgecbbbccdfdgaeebbccdfdg,93.538652 276.766793 481.733699 676.881831 862.44898 1070.310284 1337.194379 1519.929427 1716.611442 1926.984112 2092.179545 2286.507937 2464.557823 2649.859403 3008.087403 3177.120181 3404.345066 3603.241954 3789.365079 3981.564626 4174.78458 4359.200656 4544.965986 4713.919739 4872.964146 5234.66131 5383.628118 5564.127469 5740.572133 5915.024142 6080.634921 6284.965986 6461.428571 6642.267574 6837.399426,186.466334 376.181879 597.104293 784.888344 986.604716 1180.093996 1451.337626 1634.212291 1841.800809 2053.254137 2226.00907 2434.875283 2578.915587 2802.567049 3122.055315 3325.444204 3506.711843 3693.956998 3911.440502 4117.293871 4312.68012 4470.849941 4656.932083 4819.753958 5186.332454 5321.887314 5508.896865 5699.866665 5841.754298 6047.607668 6233.68981 6410.407368 6607.596372 6755.988489 7005.205643
pk02gr02_241023_161618.3.wav,cccccdeccbbbccdfdgaeebbbccdeedgadgaeebb,1e-06 140.566893 329.954649 526.054422 736.099773 917.981859 1367.777778 1550.657596 1741.156463 1942.426304 2128.662132 2283.24263 2469.274376 2639.478458 2825.21542 3006.054422 3170.022676 3348.684807 3704.716553 3867.097506 4068.730159 4295.487528 4474.421769 4626.258503 4790.634921 4976.75737 5404.081633 5573.446712 5760.453515 5915.895692 6292.517007 6454.058957 6831.088435 6997.800454 7192.108844 7351.06576,62.675737 245.782313 445.351474 630.612245 836.258503 1010.589569 1447.573696 1649.183673 1863.061224 2044.535147 2215.873016 2389.52381 2574.761905 2757.641723 2925.056689 3115.102041 3277.210884 3652.235736 3802.312925 3983.537415 4180.612245 4382.44898 4590.725624 4740.31746 4905.102041 5071.020408 5504.965986 5682.040816 5850.748299 6234.620041 6397.845805 6775.631936 6942.040816 7115.895692 7298.752834 7451.133787
pk02gr02_241023_161743.4.wav,ebbbcccccdfdfdgaecbbbccdfdgaeebbecbbccdfdgadgaeebbbccccdga,1435.555556 1577.936508 1754.78458 1923.854875 2110.385488 2268.866213 2438.163265 2620.408163 2808.253968 2974.172336 3157.755102 3316.575964 3479.591837 3634.739229 3772.857143 4118.095238 4265.941043 4433.560091 4601.655329 4769.160998 4913.99093 5066.213152 5230.884354 5390.589569 5563.356009 5713.356009 6070.294785 6204.988662 6386.145125 6568.344671 6848.072562 6982.947846 7195.464853 7341.655329 7520.362812 7677.324263 7849.977324 8023.0839 8188.979592 8344.920635 8698.480726 8838.798186 9240.294785 9394.535147 9591.088435 9751.133787 9954.285714 10134.988662 10297.619048 10490.022676 10674.46712 10858.29932 11026.258503,1469.047619 1635.668934 1832.970522 2040.113379 2192.018141 2359.637188 2530.498866 2717.482993 2904.807256 3062.040816 3238.095238 3403.24263 3571.179138 3723.310658 4080.226757 4207.800454 4365.487528 4522.585034 4689.954649 4850.702948 5002.471655 5166.530612 5321.405896 5488.117914 5652.539683 6021.138708 6156.643991 6319.705215 6479.024943 6648.61678 6931.020408 7089.433107 7289.365079 7443.287982 7609.274376 7774.535147 7940.793651 8118.231293 8277.39229 8638.959799 8784.126984 9133.481394 9340.770975 9511.836735 9685.328798 9841.428571 10047.755102 10232.811791 10413.0839 10589.387755 10775.600907 10944.444444 11344.895648
pk02gr02_241023_161933.5.wav,eebbbcccccdfdfdgaeebbccdfdgaeebbccdfdga,1441.088435 1597.823129 1776.326531 1957.732426 2126.077098 2311.836735 2465.668934 2655.782313 2835.736961 2998.276644 3178.231293 3348.027211 3506.213152 3673.106576 3841.451247 3990.929705 4324.716553 4466.938776 4665.759637 4821.043084 4971.972789 5128.707483 5301.405896 5477.006803 5630.839002 5767.256236 6117.006803 6256.326531 6426.122449 6610.430839 6775.873016 6945.668934 7121.269841 7293.968254 7460.861678 7614.693878,1492.093096 1677.298451 1856.145125 2052.063492 2214.603175 2400.362812 2583.219955 2753.015873 2937.324263 3112.92517 3262.403628 3423.492063 3596.190476 3755.827664 3919.818594 4274.273869 4405.986395 4572.879819 4754.285714 4908.117914 5069.206349 5241.904762 5388.480726 5558.276644 5719.365079 6057.850333 6206.984127 6375.328798 6527.709751 6697.505669 6878.911565 7041.451247 7211.247166 7379.591837 7556.643991 7903.655797
pk02gr02_241023_162041.6.wav,cbbbcccccdbbbcecbbccdfdgaeebbcdfdgaeccc,363.3556 554.376417 770.612245 930.249433 1105.85034 1272.743764 1441.088435 1635.555556 1806.802721 1979.501134 2147.845805 2335.056689 2485.986395 2647.07483 3027.301587 3170.975057 3359.637188 3523.628118 3662.947846 3840.0 4048.979592 4208.61678 4358.095238 4522.086168 4877.641723 5032.92517 5207.07483 5389.931973 5543.764172 5733.877551 5903.673469 6048.798186 6192.471655 6731.070969 6929.705215 7098.049887 7321.54195,458.892637 640.0 854.78458 1033.287982 1198.730159 1356.9161 1541.22449 1737.142857 1905.487528 2073.8322 2259.591837 2435.192744 2567.256236 2744.30839 3124.535147 3275.464853 3458.321995 3601.995465 3773.24263 3944.489796 4136.054422 4292.789116 4459.68254 4818.064727 4956.00907 5127.256236 5295.600907 5478.45805 5642.44898 5820.952381 5984.943311 6141.678005 6501.236344 6827.843679 7015.328798 7199.637188 7418.77551
pk02gr02_241023_162047.7.wav,cdfdgaeecccdfdfdgaeebbccdgaeebbccdfdgadga,46.439909 236.553288 406.349206 545.86854 695.147392 1104.449114 1243.210176 1432.380952 1600.725624 1824.217687 1985.306122 2216.054422 2366.984127 2516.462585 2683.356009 2832.834467 3237.732426 3390.113379 3567.165533 3747.120181 3935.782313 4093.968254 4281.179138 4445.170068 4908.117914 5075.011338 5269.478458 5434.920635 5603.265306 5778.866213 5958.820862 6118.45805 6291.156463 6456.598639 6880.362812 7029.84127,145.124717 313.511061 487.619048 644.353741 1013.319868 1199.847344 1336.873893 1518.004535 1702.312925 1921.451247 2075.283447 2301.678005 2467.120181 2612.244898 2774.78458 3128.084243 3333.514739 3504.761905 3662.947846 3841.451247 4024.30839 4204.263039 4363.900227 4747.471627 5027.120181 5196.9161 5371.06576 5530.702948 5710.657596 5889.160998 6058.956916 6211.337868 6385.487528 6765.103259 6971.791383 7330.600378
pk02gr02_241023_162113.8.wav,ebbbccccccdfdgaecbbbccdfdgaecbbbccde,148.027211 338.14059 531.156463 709.659864 898.321995 1068.117914 1281.451247 1468.662132 1657.324263 1819.863946 1988.208617 2158.004535 2320.544218 2484.535147 2841.54195 2977.959184 3163.718821 3355.283447 3536.689342 3696.326531 3866.122449 4073.650794 4241.995465 4430.657596 4606.258503 4967.619048 5124.353741 5320.272109 5520.544218 5694.482994 5868.843537 6032.834467 6238.911565 6632.199546,225.704923 420.861678 618.231293 796.734694 991.201814 1155.192744 1365.623583 1555.736961 1751.655329 1902.585034 2073.8322 2247.981859 2407.619048 2767.111025 2932.970522 3073.053643 3252.244898 3430.748299 3616.507937 3802.267574 3986.575964 4152.018141 4337.777778 4522.086168 4895.589522 5059.047619 5243.356009 5411.70068 5594.557118 5790.064266 5964.62585 6147.482993 6321.632653 6696.054422
pk02gr02_241023_162141.9.wav,cebbccccedfdgaeebbbccdebbccdfdgaeebbccdga,434.070156 619.68254 777.868481 965.079365 1127.619048 1297.414966 1464.30839 1635.555556 1815.510204 1988.208617 2169.614512 2317.641723 2490.340136 2869.115646 3051.972789 3231.927438 3408.979592 3572.970522 3726.802721 3893.696145 4051.882086 4339.229025 4514.829932 4702.040816 4857.324263 5022.76644 5230.294785 5408.798186 5555.37415 5713.560091 6095.238095 6240.362812 6434.829932 6598.820862 6793.287982 6957.278912 7132.879819 7304.126984,537.804215 684.988662 859.138322 1044.897959 1221.018193 1385.941043 1562.993197 1728.435374 1909.84127 2068.027211 2246.530612 2407.619048 2764.509457 2959.092971 3149.206349 3327.709751 3496.054422 3657.142857 3840.0 3983.673469 4144.761905 4408.888889 4613.514739 4789.115646 4964.716553 5135.963719 5317.369615 5482.811791 5646.802721 6002.628932 6175.056689 6362.267574 6527.709751 6693.151927 6899.229025 7066.122449 7221.405896 7590.833153
