wav_file,song,onsets,offsets
or34bk56_010818_070115.2919.cbin,iiiiiiiiiiibbbkiiieeeeeeeeebkkiiiiiiiiiiiiibbkiiieeeeeeee,340.0 502.0 674.0 820.0 946.0 1112.0 1238.0 1372.0 1506.0 1642.0 1784.0 1978.0 2164.0 2328.0 2482.0 2664.0 2718.0 2758.0 2931.13492 3012.699053 3098.0 3196.0 3290.0 3386.0 3482.0 3580.0 3688.0 3898.0 4056.0 4222.0 4436.0 4488.0 4528.0 4678.0 4716.0 4764.0 4800.0 4842.0 4880.0 4924.0 4962.0 5006.0 5044.0 5246.0 5446.0 5622.0 5874.0 5926.0 5954.0 6154.600262 6235.740979 6320.0 6420.0 6516.0 6610.0 6710.0 6814.0,370.0 546.0 720.0 862.0 1010.0 1156.0 1288.0 1422.0 1558.0 1692.0 1830.0 2034.0 2216.0 2382.0 2520.0 2696.0 2732.0 2830.0 3006.657265 3085.200504 3180.0 3274.0 3370.0 3466.0 3564.0 3658.0 3756.0 3942.0 4094.0 4262.0 4478.0 4524.0 4604.0 4702.0 4750.0 4786.0 4834.0 4868.0 4912.0 4950.0 4996.0 5036.0 5082.0 5304.0 5506.0 5656.0 5912.0 5936.0 6042.0 6227.626907 6304.710589 6402.0 6496.0 6596.0 6690.0 6790.0 6888.0
or34bk56_010818_070157.2928.cbin,biiiiiiiiiiiibbkkiiiiiiiiiiiiieeeeeeee,811.844829 1254.0 1458.0 1574.0 1714.0 1840.0 1972.0 2110.0 2266.0 2414.0 2548.0 2674.0 2810.0 2986.0 3134.0 3306.0 3482.0 3648.0 3702.0 3742.0 3888.0 3920.0 3966.0 4002.0 4046.0 4084.0 4128.0 4164.0 4212.0 4252.0 4404.049489 4486.669739 4574.0 4672.0 4766.0 4860.0 4958.0 5054.0,849.656239 1284.0 1490.0 1622.0 1738.0 1888.0 2020.0 2160.0 2308.0 2454.0 2598.0 2732.0 2866.0 3036.0 3196.0 3348.0 3508.0 3688.0 3722.0 3820.0 3902.0 3956.0 3994.0 4038.0 4074.0 4118.0 4158.0 4202.0 4242.0 4286.0 4479.096216 4558.618206 4652.0 4748.0 4840.0 4940.0 5036.0 5130.0
or34bk56_010818_070451.2969.cbin,iiiiiiiibbkiiiiiiiiiiiiiiieeeeeeeeeeeiiiiiiiiiiiiieeeeeee,832.0 964.0 1086.0 1256.0 1406.0 1548.0 1678.0 1818.0 1984.0 2154.0 2326.0 2534.0 2584.0 2624.0 2806.0 2852.0 2890.0 2926.0 2972.0 3008.0 3054.0 3090.0 3144.0 3170.0 3228.0 3258.0 3404.0 3484.0 3574.0 3672.0 3768.0 3866.0 3960.0 4058.0 4154.0 4256.0 4354.0 4764.0 4810.0 4850.0 5026.0 5064.0 5110.0 5148.0 5194.0 5230.0 5282.0 5314.0 5368.0 5398.0 5570.0 5652.0 5740.0 5840.0 5936.0 6036.0 6136.0,846.0 988.0 1118.0 1286.0 1442.0 1590.0 1730.0 1864.0 2040.0 2206.0 2366.0 2568.0 2594.0 2658.0 2828.0 2876.0 2912.0 2960.0 2990.0 3036.0 3072.0 3120.0 3154.0 3198.0 3238.0 3290.0 3478.0 3558.0 3654.0 3750.0 3846.0 3940.0 4038.0 4134.0 4234.0 4332.0 4432.0 4786.0 4820.0 4878.0 5046.0 5090.0 5132.0 5178.0 5212.0 5262.0 5294.0 5344.0 5378.0 5430.0 5642.0 5726.0 5822.0 5918.0 6016.0 6114.0 6214.0
or34bk56_010818_070655.2995.cbin,iiiiiiiibbbkkkiiieeeeeeeebkkkiiiiiiiiiiiiieeeeeee,838.0 974.0 1114.0 1246.0 1390.0 1540.0 1674.0 1806.0 1980.0 2138.0 2306.0 2442.0 2608.0 2776.0 2934.0 2988.0 3026.0 3200.0 3282.0 3376.0 3470.0 3564.0 3662.0 3754.0 3850.0 4164.0 4322.0 4480.0 4626.0 4808.0 4900.0 4948.0 5074.0 5110.0 5158.0 5192.0 5236.0 5274.0 5318.0 5354.0 5398.0 5436.0 5580.0 5660.0 5756.0 5854.0 5944.0 6046.0 6140.0,872.0 1016.0 1162.0 1302.0 1446.0 1596.0 1728.0 1864.0 2032.0 2192.0 2360.0 2496.0 2660.0 2814.0 2962.0 2998.0 3092.0 3278.0 3354.0 3452.0 3548.0 3642.0 3738.0 3832.0 3924.0 4212.0 4358.0 4516.0 4666.0 4834.0 4938.0 4974.0 5090.0 5140.0 5176.0 5222.0 5258.0 5304.0 5338.0 5384.0 5420.0 5466.0 5652.0 5730.0 5836.0 5932.0 6030.0 6126.0 6216.0
or34bk56_010818_070810.3002.cbin,iiiiiiiiibbkbkiiiiiiiieeeeeeeeebkiiiiiiiiiiiieeeeee,678.0 800.0 940.0 1070.0 1226.0 1368.0 1516.0 1648.0 1800.0 1982.0 2156.0 2322.0 2528.0 2666.0 2862.0 2948.0 3180.0 3226.0 3256.0 3338.0 3388.0 3418.0 3600.0 3680.0 3776.0 3870.0 3962.0 4058.0 4152.0 4250.0 4356.0 4680.0 4806.0 5010.0 5100.0 5286.0 5326.0 5374.0 5406.0 5454.0 5488.0 5534.0 5568.0 5616.0 5650.0 5790.0 5872.0 5960.0 6058.0 6156.0 6258.0,706.0 836.0 982.0 1116.0 1274.0 1416.0 1566.0 1704.0 1852.0 2034.0 2210.0 2344.0 2574.0 2698.0 2884.0 2982.0 3204.0 3238.0 3284.0 3366.0 3404.0 3448.0 3676.83591 3762.0 3850.0 3944.0 4042.0 4136.0 4230.0 4324.0 4428.0 4726.0 4844.0 5028.0 5138.0 5304.0 5352.0 5384.0 5434.0 5468.0 5518.0 5552.0 5598.0 5630.0 5680.0 5860.0 5942.0 6036.0 6134.0 6232.0 6328.0
or34bk56_010818_070915.3014.cbin,iibbbkkkiiiiiiiiiiiiibbkkkkiiiiiiiiiiiieeeeeee,1538.0 1776.0 1974.0 2132.0 2298.0 2474.0 2617.110158 2790.0 2942.0 3022.0 3226.0 3266.0 3320.0 3348.0 3390.0 3430.0 3482.0 3510.0 3594.0 3642.0 3680.0 3884.0 4068.0 4256.0 4414.0 4544.0 4710.0 4868.0 4960.0 5014.0 5098.0 5138.0 5220.0 5272.0 5302.0 5354.0 5382.0 5430.0 5466.0 5606.0 5686.0 5778.0 5874.0 5970.0 6062.0 6164.0,1568.0 1810.0 2022.0 2188.0 2350.0 2512.0 2668.817478 2830.0 2968.0 3070.0 3250.0 3298.0 3334.0 3376.0 3414.0 3458.0 3496.0 3538.0 3620.0 3662.0 3710.0 3936.0 4118.0 4282.0 4440.0 4588.0 4734.0 4890.0 4990.0 5030.0 5114.0 5156.0 5252.0 5282.0 5330.0 5368.0 5410.0 5450.0 5496.0 5676.0 5756.0 5856.0 5950.0 6044.0 6140.0 6236.0
or34bk56_010818_070942.3018.cbin,iiiiiiiiibkkkiiiiiiiiiiieeeeeeeebkkbiiiiiiiiiieeeeee,648.0 784.0 928.0 1062.0 1220.0 1344.0 1520.0 1666.0 1806.0 1974.0 2116.0 2300.0 2456.0 2606.0 2692.0 2746.0 2858.0 2904.0 2952.0 2978.0 3032.0 3060.0 3112.0 3142.0 3314.0 3394.0 3484.0 3584.0 3678.0 3772.0 3872.0 3976.0 4158.0 4298.0 4456.0 4712.0 4860.0 4898.0 4950.0 4982.0 5024.0 5062.0 5108.0 5144.0 5196.0 5228.0 5382.0 5558.0 5656.0 5750.0 5844.0 5946.0,672.0 812.0 950.0 1106.0 1264.0 1396.0 1564.0 1714.0 1862.0 2032.0 2166.0 2324.0 2482.0 2622.0 2730.0 2764.0 2878.0 2918.0 2964.0 3002.0 3042.0 3088.0 3124.0 3172.0 3390.0 3468.0 3568.0 3662.0 3758.0 3852.0 3946.0 4048.0 4196.0 4338.0 4502.0 4752.0 4878.0 4930.0 4964.0 5012.0 5048.0 5094.0 5128.0 5174.0 5206.0 5256.0 5534.0 5636.0 5736.0 5830.0 5920.0 6022.0
or34bk56_010818_070950.3019.cbin,iiiiiiibbbbbkkiiiiiiiiiiiieeeeeeeeeebkkkbiiiiiiiiiiieeeeeeeebkkkiiiiiiiiiii,1016.0 1142.0 1280.0 1414.0 1562.0 1702.0 1830.0 1980.0 2110.0 2260.0 2416.0 2566.0 2696.0 2858.0 3016.0 3100.0 3270.0 3306.0 3358.0 3390.0 3432.0 3470.0 3520.0 3550.0 3602.0 3636.0 3778.999958 3861.877271 3950.0 4048.0 4142.0 4238.0 4338.0 4436.0 4532.0 4630.0 4828.0 4976.0 5140.0 5310.0 5468.0 5598.0 5762.0 5848.0 5992.0 6034.0 6084.0 6112.0 6164.0 6194.0 6240.0 6278.0 6436.0 6514.0 6606.0 6702.0 6798.0 6898.0 6994.0 7092.0 7444.0 7592.0 7762.0 7932.0 8246.0 8456.0 8502.0 8540.0 8576.0 8624.0 8658.0 8712.0 8740.0 8794.0 8826.0,1044.0 1180.0 1324.0 1462.0 1612.0 1754.0 1884.0 2034.0 2168.0 2312.0 2468.0 2622.0 2748.0 2902.0 3040.0 3144.0 3290.0 3340.0 3374.0 3418.0 3456.0 3500.0 3538.0 3582.0 3620.0 3666.0 3856.854404 3939.731717 4032.0 4130.0 4224.0 4320.0 4420.0 4518.0 4610.0 4702.0 4868.0 5014.0 5178.0 5334.0 5520.0 5632.0 5792.0 5888.0 6010.0 6064.0 6100.0 6142.0 6180.0 6224.0 6264.0 6314.0 6508.0 6588.0 6688.0 6784.0 6882.0 6978.0 7074.0 7168.0 7494.0 7630.0 7792.0 7970.0 8288.0 8472.0 8524.0 8558.0 8606.0 8638.0 8686.0 8724.0 8772.0 8804.0 8856.0
or34bk56_010818_071027.3026.cbin,iiiiiiiiiiiibbbbbkkiiiieeeeeeeeee,136.0 264.0 390.0 532.0 690.0 882.0 1044.0 1194.0 1362.0 1506.0 1668.0 1810.0 1984.0 2148.0 2312.0 2464.0 2632.0 2794.0 2948.0 3136.0 3188.0 3216.0 3278.0 3390.0 3484.0 3568.0 3666.0 3762.0 3856.0 3954.0 4050.0 4152.0 4250.0,154.0 276.0 420.0 568.0 732.0 930.0 1086.0 1240.0 1410.0 1562.0 1724.0 1866.0 2036.0 2204.0 2366.0 2518.0 2686.0 2834.0 2992.0 3166.0 3200.0 3266.0 3298.0 3469.3266 3550.0 3650.0 3748.0 3846.0 3934.0 4034.0 4130.0 4226.0 4326.0
or34bk56_010818_071123.3033.cbin,iibbbkkkkkiiiieeeeee,1570.0 1792.0 1978.0 2114.0 2282.0 2438.0 2610.0 2774.0 2932.0 3092.0 3228.0 3312.0 3372.0 3402.0 3494.58444 3576.0 3664.0 3760.0 3852.0 3944.0,1600.0 1826.0 2030.0 2170.0 2338.0 2492.0 2658.0 2824.0 2982.0 3132.0 3254.0 3350.0 3382.0 3418.0 3571.047378 3648.0 3740.0 3832.0 3926.0 4022.0
