wav_file,song,onsets,offsets
or37bk38_270718_162944.30.cbin,diiidiiiiieeeeedddbbbiiieeeee,2998.6875 3803.125 4541.1875 4888.875 5100.90625 5415.90625 5466.84375 5519.28125 5567.40625 5622.3125 6085.71875 6154.71875 6257.375 6366.625 6477.625 6791.28125 7022.78125 7254.40625 7454.3125 7534.4375 7606.78125 7848.4375 7927.625 8027.78125 8324.03125 8421.28125 8518.78125 8633.3125 8741.75,3056.25 3849.21875 4578.78125 4934.0 5177.375 5436.71875 5499.59375 5552.34375 5605.8125 5643.71875 6129.75 6222.09375 6337.34375 6449.875 6571.65625 6871.46875 7105.5 7340.0 7508.71875 7585.6875 7672.71875 7895.15625 8018.375 8181.6875 8402.59375 8490.625 8608.8125 8716.09375 8827.5
or37bk38_270718_162956.32.cbin,iiiiddddbbbiiidiididbbbidbbbiccccccccccceeeeeiiieeeee,612.5 851.84375 1735.9375 2956.625 3214.84375 3408.90625 3605.5 3802.84375 4028.9375 4107.6875 4182.875 4392.0 4575.75 4765.84375 4966.125 5167.25 5341.125 5575.5 5785.1875 5956.6875 6138.84375 6216.6875 6291.4375 6490.875 6677.09375 6875.1875 6954.09375 7027.21875 7252.09375 7890.09375 7929.96875 7973.59375 8018.65625 8064.6875 8109.6875 8155.3125 8200.90625 8247.25 8293.375 8341.5625 8453.875 8551.28125 8646.15625 8761.71875 8871.5 9223.8125 9545.0625 9634.75 10070.375 10169.9375 10263.75 10377.9375 10489.34375,639.25 917.28125 1775.75 3009.4375 3286.28125 3490.0625 3687.75 3888.21875 4082.5625 4159.25 4243.96875 4420.21875 4650.625 4849.0625 5048.78125 5228.78125 5415.71875 5658.03125 5850.9375 6037.46875 6194.09375 6270.125 6357.15625 6562.4375 6762.15625 6932.40625 7008.125 7100.1875 7693.34375 7912.53125 7955.53125 8001.25 8045.0625 8091.0 8136.96875 8182.9375 8228.6875 8273.46875 8323.125 8378.125 8534.6875 8620.25 8738.0 8847.1875 8961.125 9277.125 9575.65625 9942.75 10151.21875 10235.0625 10352.46875 10467.0 10576.28125
or37bk38_270718_163014.33.cbin,iiiiddddbbiidbbbiiiiiiccccccccccccceeeeeidbbbicccccccccccceeeeeidbbbieeeee,2303.0 2726.84375 2988.125 3168.96875 4088.40625 4318.1875 4520.40625 4718.4375 4805.90625 4880.625 5211.21875 5349.8125 5538.375 5734.0625 5812.15625 5891.625 6090.8125 6174.90625 6220.90625 6274.53125 6322.65625 6378.625 6581.25 6620.96875 6662.375 6705.4375 6749.0 6793.15625 6838.1875 6882.875 6927.3125 6972.1875 7016.9375 7062.5 7108.53125 7216.625 7306.96875 7402.3125 7513.84375 7624.75 7988.28125 8209.75 8393.90625 8472.78125 8547.84375 8750.96875 9349.78125 9391.65625 9437.34375 9483.875 9529.65625 9575.78125 9621.59375 9666.40625 9713.875 9759.84375 9805.5 9854.5625 9963.75 10058.5 10158.1875 10274.0 10381.875 11261.46875 11480.34375 11667.15625 11743.71875 11819.375 12023.65625 12547.96875 12643.625 12739.5 12852.96875 12960.625,2325.21875 2757.1875 3030.96875 3211.4375 4164.0 4399.96875 4603.71875 4781.78125 4859.34375 4941.96875 5242.71875 5422.9375 5623.09375 5787.125 5871.625 5957.8125 6127.28125 6214.59375 6267.71875 6317.09375 6355.40625 6402.65625 6601.78125 6643.3125 6689.59375 6733.1875 6776.5625 6820.5625 6863.59375 6911.53125 6954.03125 6999.78125 7046.40625 7090.5625 7137.25 7289.25 7378.40625 7491.4375 7599.15625 7713.59375 8035.46875 8292.71875 8448.71875 8526.71875 8615.59375 9142.53125 9374.0625 9421.0625 9464.84375 9509.125 9557.5 9602.78125 9647.25 9694.65625 9741.0625 9787.53125 9835.15625 9888.90625 10041.8125 10129.0625 10246.25 10358.1875 10473.71875 11322.71875 11565.09375 11720.9375 11799.46875 11885.6875 12423.25 12625.96875 12713.46875 12827.8125 12935.0 13052.25
or37bk38_270718_163048.36.cbin,iiiiiiidddddbbbcccccccccccccceeeee,2568.6875 2975.4375 3138.40625 3622.34375 3819.28125 4242.8125 4805.21875 5024.8125 5210.15625 5450.21875 5637.84375 6319.09375 6511.46875 6577.9375 6652.96875 6923.09375 6966.21875 7010.3125 7053.78125 7099.0625 7142.90625 7188.78125 7232.25 7276.8125 7321.375 7365.5 7411.34375 7457.59375 7503.84375 7640.34375 7735.25 7830.53125 7943.34375 8054.6875,2596.53125 3045.9375 3217.46875 3668.9375 3879.28125 4293.5625 4842.46875 5084.78125 5291.625 5514.59375 5715.375 6397.8125 6557.3125 6627.375 6718.0625 6947.96875 6991.84375 7037.90625 7080.34375 7126.3125 7169.1875 7213.21875 7258.59375 7304.375 7348.9375 7393.25 7438.84375 7485.9375 7534.25 7719.0625 7805.09375 7918.9375 8028.0625 8153.03125
or37bk38_270718_163146.40.cbin,iiiiiidddbdbbbiiiidbbb,4093.34375 4366.1875 4557.40625 4903.75 5106.5625 5354.84375 5629.46875 5881.4375 6085.5 6382.625 6540.59375 6741.375 6814.21875 6888.5 7094.3125 7310.59375 7513.65625 7740.21875 7964.09375 8169.5625 8248.71875 8323.65625,4140.03125 4443.9375 4624.03125 4974.90625 5177.9375 5416.21875 5709.5625 5960.4375 6165.28125 6430.96875 6621.71875 6792.1875 6867.78125 6955.21875 7167.375 7381.09375 7602.78125 7828.8125 8045.375 8227.625 8302.59375 8387.0
or37bk38_270718_163200.41.cbin,bbbbbddbbbidbbbieeeeedbbbidbbbiicccccccccccccceeeee,2980.34375 3265.59375 3587.90625 3811.90625 4179.125 5293.28125 5490.1875 5669.5 5752.1875 5824.75 6023.34375 6231.75 6421.59375 6498.125 6571.125 6859.0 7298.625 7394.09375 7488.342566 7600.09375 7706.21875 7972.71875 8160.53125 8240.875 8313.8125 8593.875 8759.46875 8944.875 9023.625 9094.4375 9325.3125 9398.71875 9856.40625 9896.46875 9938.65625 9982.84375 10026.25 10071.875 10115.5625 10161.1875 10204.78125 10251.09375 10295.4375 10341.3125 10386.53125 10437.40625 10552.6875 10645.21875 10741.46875 10855.1875 10964.25,3038.28125 3326.34375 3655.625 3874.8125 4239.625 5373.125 5570.25 5727.375 5806.15625 5889.59375 6097.40625 6313.25 6475.625 6550.875 6640.4375 7180.625 7377.625 7456.662625 7572.201232 7685.46875 7805.59375 8059.59375 8218.75 8294.8125 8381.9375 8646.25 8845.78125 9004.09375 9080.03125 9164.78125 9380.25 9715.03125 9881.53125 9923.4375 9966.28125 10010.09375 10054.5625 10099.21875 10145.0 10189.71875 10234.25 10278.5 10323.6875 10369.875 10417.0625 10477.0625 10629.3125 10718.90625 10832.65625 10942.15625 11051.40625
or37bk38_270718_163221.43.cbin,iiiiiiidddbbbiiidbbbiicccccccccccccceeeeedidbbiidiiddddcccccccccceeeeei,2726.3125 3034.9375 3408.78125 3977.75 4121.125 4382.40625 4562.09375 4756.03125 4954.6875 5155.15625 5350.21875 5430.65625 5506.03125 5709.84375 5900.625 6080.25 6278.9375 6465.5625 6545.375 6621.75 6822.8125 6893.25 7358.46875 7399.125 7440.78125 7485.0 7528.28125 7573.125 7617.625 7662.71875 7707.5625 7751.875 7797.90625 7842.96875 7888.21875 7935.53125 8039.84375 8136.0 8231.0625 8345.15625 8452.6875 8725.28125 8926.21875 9118.75 9320.21875 9402.0625 10725.40625 10915.75 11098.65625 11311.84375 11397.21875 11803.46875 11897.25 11990.46875 12105.28125 12260.875 12299.125 12341.03125 12386.875 12430.375 12476.03125 12522.3125 12565.71875 12611.84375 12658.5 12764.1875 12858.03125 12950.5 13063.34375 13173.78125 13514.75,2767.59375 3100.03125 3481.625 4041.71875 4205.4375 4447.78125 4616.3125 4840.59375 5037.625 5241.21875 5404.5 5480.5625 5574.4375 5789.625 5970.875 6173.15625 6362.71875 6522.34375 6601.03125 6689.625 6876.6875 7213.625 7382.40625 7424.0 7468.0625 7512.3125 7556.5 7601.0625 7645.40625 7691.0 7737.0 7779.21875 7825.46875 7869.5625 7915.5625 7971.21875 8119.40625 8208.90625 8318.78125 8431.40625 8541.46875 8808.1875 9005.25 9206.78125 9383.09375 9451.15625 10775.125 10968.90625 11179.09375 11366.125 11697.5625 11881.8125 11969.21875 12080.96875 12185.03125 12282.21875 12324.03125 12369.53125 12415.625 12458.625 12503.8125 12549.1875 12596.8125 12640.46875 12692.09375 12841.34375 12927.59375 13037.9375 13148.09375 13277.3125 13577.125
or37bk38_270718_163236.44.cbin,iiiiiiddddbbbidbbbiccccccccccccceeeeedbbbiieeeee,2980.28125 3931.28125 4063.0 4222.9375 4390.53125 4560.1875 4802.15625 4990.4375 5167.375 5354.6875 5527.40625 5604.84375 5678.8125 5873.09375 6058.9375 6245.125 6325.09375 6397.84375 6600.125 7132.5 7172.03125 7214.8125 7258.375 7303.59375 7348.40625 7393.03125 7437.84375 7482.59375 7528.875 7572.65625 7619.125 7665.8125 7767.5625 7859.96875 7965.375 8075.34375 8183.34375 8434.46875 8625.21875 8703.65625 8776.8125 9005.5 9061.3125 9552.3125 9648.125 9745.125 9859.28125 9968.46875,3030.71875 3983.96875 4135.0625 4289.28125 4435.96875 4620.1875 4883.8125 5073.625 5246.5625 5436.53125 5586.0 5660.46875 5749.0 5957.90625 6150.4375 6304.78125 6380.96875 6471.65625 6991.0 7155.25 7197.375 7243.03125 7286.46875 7333.25 7376.15625 7422.25 7467.4375 7511.5625 7556.28125 7601.875 7647.625 7694.15625 7843.90625 7933.53125 8052.65625 8160.6875 8275.40625 8518.9375 8682.96875 8758.34375 8846.34375 9056.28125 9455.15625 9633.15625 9711.1875 9832.40625 9946.75 10063.3125
or37bk38_270718_163252.45.cbin,iiiidddbbbiiidiicccccccccccccceeee,2811.6875 2978.40625 3162.8125 3360.1875 3805.15625 3995.15625 4188.875 4371.875 4456.5625 4529.46875 4767.84375 4929.15625 5123.90625 5340.09375 5556.0 5630.15625 6099.46875 6140.28125 6181.21875 6225.875 6270.0625 6315.28125 6360.21875 6405.125 6449.75 6494.84375 6539.46875 6585.15625 6630.3125 6678.15625 6787.78125 6882.15625 6983.4375 7120.5,2846.3125 3023.46875 3218.53125 3414.65625 3882.34375 4075.0625 4269.53125 4432.65625 4505.8125 4592.15625 4833.9375 5023.71875 5222.8125 5425.84375 5624.4375 5949.875 6121.75 6165.375 6209.59375 6253.84375 6297.46875 6342.90625 6386.9375 6432.625 6479.40625 6523.25 6568.875 6613.4375 6659.375 6713.5625 6865.71875 6955.4375 7070.4375 7195.21875
or37bk38_270718_163314.46.cbin,iiiiiiidddbbbidiii,2694.375 2977.1875 3247.8125 3527.5625 3864.0 4234.59375 4416.71875 4594.625 4812.375 5025.375 5224.1875 5303.125 5375.21875 5592.9375 5785.375 5989.9375 6172.71875 6414.25,2747.09375 3027.1875 3298.375 3574.21875 3916.8125 4285.96875 4474.5625 4677.3125 4894.96875 5107.0625 5277.96875 5352.625 5443.03125 5668.3125 5870.59375 6063.53125 6266.40625 6480.65625
